file_name,label
0,0
1,0
100,0
10000,0
100000,0
100001,0
100003,1
100004,1
100005,0
100006,0
100007,0
100008,0
100009,0
10001,0
100010,0
100011,0
100012,1
100013,0
100014,0
100015,0
100016,0
100017,5
100018,0
100019,0
10002,0
100020,0
100021,0
100022,2
100023,0
100024,2
100026,0
100027,0
100028,2
100029,2
10003,0
100030,0
100031,0
100033,0
100034,0
100035,0
100036,0
100038,0
100039,0
100040,3
100041,0
100042,0
100043,3
100045,2
100046,2
100049,0
10005,0
100050,0
100051,0
100052,0
100053,0
100055,0
100056,0
100057,0
100058,1
100059,0
100060,0
100061,0
100062,0
100063,0
100064,0
100065,0
100067,0
100068,0
100069,0
10007,0
100070,0
100071,1
100072,0
100074,2
100076,0
10008,0
100085,0
100086,0
100087,0
100088,2
100089,0
10009,2
100092,0
100096,2
100097,0
100098,0
100099,1
1001,0
10010,0
100100,0
100101,0
100102,0
100103,0
100104,0
100105,4
100106,4
100107,0
100108,0
100109,0
10011,0
100111,0
100112,0
100113,0
100114,0
100115,1
100116,0
100118,0
100119,1
10012,0
100120,0
100121,0
100122,0
100123,3
100125,0
100126,3
100127,0
100128,0
100129,0
10013,0
100130,0
100131,0
100132,1
100133,0
100134,0
100135,0
100136,1
100137,0
100138,0
100139,0
10014,0
100140,0
100141,0
100142,0
100144,0
100145,0
100146,0
100149,0
10015,0
100150,0
100151,0
100152,0
100153,0
100154,0
100155,1
100156,0
100157,0
100159,3
10016,0
100162,0
100163,0
100164,3
100165,0
100166,0
100167,0
100168,0
10017,0
100170,0
100171,8
100175,0
100178,3
100179,0
10018,0
100180,0
100181,0
100182,0
100183,0
100184,2
100185,0
100186,0
100187,0
100188,0
100189,0
10019,0
100190,0
100191,2
100192,1
100193,0
100194,1
100195,0
100196,0
100197,1
100199,0
1002,0
10020,0
100200,0
100201,1
100203,3
100204,0
100205,0
100206,0
100207,0
100208,0
10021,1
100210,1
100211,0
100214,6
100215,2
100216,0
100217,0
100218,2
10022,0
100220,0
100223,0
100225,3
100228,0
100229,0
10023,1
100230,1
100231,0
100232,0
100233,0
100234,0
100239,0
10024,1
100240,0
100241,0
100242,0
100244,0
100245,0
100248,0
100249,0
100250,1
100251,0
100252,0
100253,0
100254,0
100256,0
100258,0
100259,0
100260,0
100261,0
100262,0
100263,0
100264,0
100265,0
100266,0
100270,3
10029,0
10030,0
100307,0
100308,0
100309,0
10031,2
100310,0
100311,0
100312,3
100313,0
100315,0
100316,0
100317,0
100318,0
100319,1
10032,0
100320,0
100321,3
100323,0
100324,0
100325,0
100326,0
100327,0
10033,0
100330,0
100331,0
100332,0
100333,0
100334,0
100335,0
100337,0
100339,0
10034,0
100340,0
100341,2
100342,0
100343,0
100344,0
100345,0
100346,0
100347,1
100349,1
10035,0
100350,0
100354,0
100355,0
100356,0
100357,0
100358,0
100359,0
10036,0
100360,0
100361,0
100362,0
100363,1
100364,0
100365,0
100366,0
100368,0
100369,0
10037,1
100370,0
100371,0
100372,0
100374,0
100375,1
100377,0
100378,0
100379,2
10038,0
100380,0
100381,0
100382,0
100384,0
100388,1
10039,0
100390,0
100391,0
100392,0
100393,0
100394,0
100395,2
100396,0
100398,1
100399,9
1004,0
100402,0
100403,0
100404,0
100405,0
100406,0
100407,0
100408,0
100409,0
10041,0
100410,0
100411,0
100412,1
100413,0
100414,1
100415,0
100416,0
100417,0
100418,0
100419,0
10042,2
100420,0
100421,0
100422,0
100423,0
100424,0
100426,1
100428,0
10043,0
100430,0
100432,0
100434,0
100435,0
100436,1
100437,0
100438,0
100439,0
10044,0
100440,1
100441,0
100442,0
100443,0
100444,0
100445,0
100446,0
100447,5
100448,0
100449,0
10045,0
100450,0
100451,0
100452,2
100454,0
100455,0
100456,0
100457,0
100458,0
100459,2
10046,0
100460,0
100461,0
100462,0
100463,0
100464,0
100465,2
100466,2
100467,0
100468,0
100469,0
10047,0
100470,1
100472,0
10048,0
100482,0
100483,0
100487,0
100488,0
100489,1
10049,1
100490,0
100491,0
100492,0
100493,0
100494,0
100495,4
100496,4
100498,0
100499,0
1005,1
10050,0
100500,0
100501,0
100502,1
100503,0
100508,0
100509,0
10051,0
100510,0
100511,2
100512,0
100513,2
100514,0
100515,0
100516,0
